societe,adresse_postale,code_postal,email_destinataire
PARTENAIRE PLUS,4 Bd Carnot,61200 Argentan,a.savina@partenairesplus.com
PROD-EO,29 Rue Jean-Louis Cartigny,14760 Bretteville-sur-Odon,contact@prod-eo.com
TWELVE SOLUTIONS,149 RUE DE LA DELIVRANDE,14000 CAEN,contact@twelve.solutions
EP Digital,5 Rue Capitaine Boualam,14000 CAEN,contact@epdigital.fr
INCAYA,15 rue de Vaucelles,14000 CAEN,
DATADUNK,23 avenue de Verdun,14000 CAEN,https://www.datadunk.io/contact#contact-email
ZAACOM,8 B boulevard Georges Pompidou,14000 CAEN,
SELARL BIOCARMES,10 BOULEVARD GEORGES POMPIDOU,14000 CAEN,
ALPHASPRAY,87 rue d Herouville,14000 CAEN,contact@alphaspray.fr
N-CYP,82 AV DE THIES,14000 CAEN,contact@n-cyp.com
FORTERRO FRANCE,10 rue Alfred Kastler,14000 CAEN,https://www.forterro.com/fr/societe/contact
SOLUTYVE,19 RUE DU CARMEL 14100 LISIEUX,14100 LISIEUX,
