societe,adresse_postale,code_postal,email_destinataire,domaine,url
SOCIETE OUEST FRANCE,14 PLACE PIERRE BOUCHARD,14000 CAEN,,9 domaines,
14 GSM,9 avenue de la Liberation,14000 CAEN,,9 domaines,
L'INFORMATIQUE 14,39 RUE DE L ORATOIRE,14000 CAEN,,9 domaines,
HOUDANT NICOLAS,5 rue Guillaume de la Tremblaye,14000 CAEN,,9 domaines,
RADIO VENT DU LARGE,26 RUE D AUTHIE,14000 CAEN,,9 domaines,
DATADUNK,23 avenue de Verdun,14000 CAEN,,9 domaines,
INCAYA,15 rue de Vaucelles,14000 CAEN,,9 domaines,
SEO JUNGLE,8B boulevard Georges Pompidou,14000 CAEN,,9 domaines,
ZAACOM,8 B boulevard Georges Pompidou,14000 CAEN,,9 domaines,
SELARL BIOCARMES,10 BOULEVARD GEORGES POMPIDOU,14000 CAEN,,9 domaines,
SM LUTTE INNONDATIONS VALLEE ORNE,16 RUE ROSA PARKS,14000 CAEN,,9 domaines,
ALPHASPRAY,87 rue d Herouville,14000 CAEN,,9 domaines,
N-CYP,82 AV DE THIES,14000 CAEN,,9 domaines,
ZONES D ONDES AGENCE ASS : NORMANDIE MED,59 RUE DES BOUTIQUES,14000 CAEN,,9 domaines,
SAP LABS FRANCE,8 rue Commodore J H Hallet,14000 CAEN,,9 domaines,
ARMATIS NORMANDIE,10 RUE DE LA GIRAFE,14000 CAEN,,9 domaines,
COMMEETT,14 RUE ALFRED KASTLER,14000 CAEN,,9 domaines,
FORTERRO FRANCE,10 rue Alfred Kastler,14000 CAEN,,9 domaines,
SELARL BIOCARMES,63 AV CAPITAINE GEORGES GUYNEMER,14000 CAEN,,9 domaines,
WEBHELP CAEN,1 RUE RAYMONDE BAIL,14000 CAEN,,9 domaines,
FONTAINE GILLES RAYMOND MARIE,3 ROUTE DE ROSEL,14280 SAINT-CONTEST,,9 domaines,
URBEST,17 rue CLAUDE BLOCH,14000 CAEN,,9 domaines,
GIE CENTRE DE REGULATION AMB,156 rue Leon Foucault,14200 HEROUVILLE-SAINT-CLAIR,,9 domaines,
GROUPEMENT DE COOPERATION SANITAIRE NORM,7 RUE LONGUE VUE DES,14111 LOUVIGNY,,9 domaines,
GENERATION NET,8 LONGUE VUE DES ASTRONOMES,14111 LOUVIGNY,,9 domaines,
CLINIQUE VETERINAIRE DE LEBISEY,AVENUE DU GENERAL DE GAULLE,14200 HEROUVILLE-SAINT-CLAIR,,9 domaines,
LES DEPANNEURS ENGAGES,3 rue Louis Pasteur,14200 HEROUVILLE-SAINT-CLAIR,,9 domaines,
MOSAIC,15 avenue de Cambridge,14200 HEROUVILLE-SAINT-CLAIR,,9 domaines,
CONSCIENCE ROBOTICS,4 avenue de Cambridge,14200 HEROUVILLE-SAINT-CLAIR,,9 domaines,
CEGEDIM SANTE,1280 rue d Epron,14200 HEROUVILLE-SAINT-CLAIR,,9 domaines,
BUREAUTIQUE SERVICES ET IMPRESSION,4B AVENUE DE LA VOIE AU COQ,14760 BRETTEVILLE-SUR-ODON,,9 domaines,
ATOS FRANCE,Esplanade Anton Philips,14460 Colombelles,,9 domaines,
DL NEGOCE,1 rue Irene Joliot Curie,14460 COLOMBELLES,,9 domaines,
LIMENGO,8 rue Leopold Senghor,14460 COLOMBELLES,,9 domaines,
AIKAN,9 rue Leopold Senghor,14460 COLOMBELLES,,9 domaines,
MASSELIN COMMUNICATION,6 rue Alfred Nobel,14123 IFS,,9 domaines,
GEEKAT,2 rue Jean Perrin,14460 COLOMBELLES,,9 domaines,
FIBER ACADEMY,2 rue Jean Perrin,14460 COLOMBELLES,,9 domaines,
CLARANET,2 RUE JEAN PERRIN,14460 COLOMBELLES,,9 domaines,
KEPHYRE,2 rue Jean Perrin,14460 COLOMBELLES,,9 domaines,
ENEDIS,660 RUE ANTOINE DE SAINT EXUPERY,14760 BRETTEVILLE-SUR-ODON,,9 domaines,
ECHELLE CAENNAISE,5 RUE MADELEINE BRES,14123 IFS,,9 domaines,
CLOUDSPREADER,1 RUE HENRI SPRIET,14120 MONDEVILLE,,9 domaines,
VEOLIA EAU - COMPAGNIE GENERALE DES EAUX,18 AVENUE DU PAYS DE CAEN,14460 COLOMBELLES,,9 domaines,
AXYOM,1 RUE CHARLES SAURIA,14123 IFS,,9 domaines,
L'AGENCE PRO,50B rue du General Leclerc,14790 VERSON,,9 domaines,
LEGALLAIS,BD LIEUTENANT COLONEEL,14320 SAINT-ANDRE-SUR-ORNE,,9 domaines,
SOCIETE CIVILE PROFESSIONNELLE CABINET L,12 RUE DU GENERAL LECLERC,14550 BLAINVILLE-SUR-ORNE,,9 domaines,
I.N. CONCEPT,5 RUE DE LA MAIRIE,14610 CAIRON,,9 domaines,
EUROVIA BASSE NORMANDIE,Z I Portuaire,14550 Blainville-sur-Orne,,9 domaines,
SPIE CITYNETWORKS,180 rue de l Odon,14790 MOUEN,,9 domaines,
B STRONG,10 RUE DE LA BRUYERE,14790 FONTAINE-ETOUPEFOUR,,9 domaines,
DIOQA SARL,17 boulevard de l Europe,14540 BOURGUEBUS,,9 domaines,
