societe,adresse_postale,code_postal,email_destinataire,domaine,url
CARREFOUR SYSTEMES D'INFORMATION (C.S.I.),ZI ROUTE DE PARIS 14120 MONDEVILLE,14120 MONDEVILLE,,6 secteurs,
GILLES WERBROUCK,22 RUE HAUTE 14600 HONFLEUR,14600 HONFLEUR,,6 secteurs,
TALEEN,PERICENTRE 3 26 AVENUE DE THIES 14000 CAEN,14000 CAEN,,6 secteurs,
LSV CONSEIL (AGS),CHEMIN DE CALLENVILLE 14360 TROUVILLE-SUR-MER,14360 TROUVILLE-SUR-MER,,6 secteurs,
EURL WEEZY,16 RUE DU CLOS SAINT-MATHIEU 14860 AMFREVILLE,14860 AMFREVILLE,,6 secteurs,
SYLVAIN ANDRE,LE BOIS ROGER 14170 SAINT-PIERRE-EN-AUGE,14170 SAINT-PIERRE-EN-AUGE,,6 secteurs,
NORM3D,2 RUE JEAN PERRIN 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
INMIND-VR,17 RUE CLAUDE BLOCH 14000 CAEN,14000 CAEN,,6 secteurs,
CLEMENT BOUQUET (FASORY),3 RUE SAINT CLAIR 14500 VIRE-NORMANDIE,14500 VIRE-NORMANDIE,,6 secteurs,
DIMITRI LEBOUTEILLER,17 AVENUE JEAN TERNISIEN 14150 OUISTREHAM,14150 OUISTREHAM,,6 secteurs,
ACCESS-MAN (ACCESS-MAN),11 HAM DE NAVARRE CHICHEBOVILLE 14370 MOULT-CHICHEBOVILLE,14370 MOULT-CHICHEBOVILLE,,6 secteurs,
SEBINFO.FR,16 RUE DES ECOLES 14540 SOLIERS,14540 SOLIERS,,6 secteurs,
SAMDOC MEDICAL TECHNOLOGIES,PERICENTRE 3 26 AVENUE DE THIES 14000 CAEN,14000 CAEN,,6 secteurs,
CYRIL NOUGAREDE,1 RUE DE STRASBOURG 14610 CAIRON,14610 CAIRON,,6 secteurs,
BE MAP GUEST,2 B RUE EUGENIE 14000 CAEN,14000 CAEN,,6 secteurs,
ASLAK STUDIO,77 B RUE DE SAINT-ANDRE 14123 FLEURY-SUR-ORNE,14123 FLEURY-SUR-ORNE,,6 secteurs,
REMI HERBULOT,CIDEX F 12 14210 THUE ET MUE,14210 THUE ET MUE,,6 secteurs,
PIERRE HUNOUT,4 AVENUE DES ECOLES 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
YOUSIGN,RUE DE SUEDE AVENUE PIERRE BERTHELOT 14000 CAEN,14000 CAEN,,6 secteurs,
SEAVER,17 RUE CLAUDE BLOCH 14000 CAEN,14000 CAEN,,6 secteurs,
TEICEE (SIF),153 RUE GERALDINE MOCK 14760 BRETTEVILLE-SUR-ODON,14760 BRETTEVILLE-SUR-ODON,,6 secteurs,
MH COMMUNICATION (MH COMMUNICATION) (MH COM),171 RUE D'EPRON 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
FREDERIC LEMOIGNE (GREENTOOLS),33 RUE SAINT-NORBERT 14000 CAEN,14000 CAEN,,6 secteurs,
OLIVIER BUGNOT,14 ROUTE DE CAEN 14100 SAINT-DESIR,14100 SAINT-DESIR,,6 secteurs,
KAD !,PERICENTRE III 26 AVENUE DE THIES 14000 CAEN,14000 CAEN,,6 secteurs,
GEEKAT (APOLLO STUDIO),IMMEUBLE PLUG N'WORK 2 RUE JEAN PERRIN 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
TAPBUY SAS,16 QUAI AMIRAL HAMELIN 14000 CAEN,14000 CAEN,,6 secteurs,
CABINET RICHARD GOECHON,78 RUE DU GENERAL LECLERC 14100 LISIEUX,14100 LISIEUX,,6 secteurs,
SAMM,4 RUE LUCIE DELARUE MARDRUS 14600 HONFLEUR,14600 HONFLEUR,,6 secteurs,
FLORENCE BAILLEUL,53 RUE CHARLES DE COULOMB 14120 MONDEVILLE,14120 MONDEVILLE,,6 secteurs,
SARL LEONARD,2 T AVENUE PERE CHARLES DE FOUCAULD 14000 CAEN,14000 CAEN,,6 secteurs,
ATREIA,159 RUE DE BAYEUX 14000 CAEN,14000 CAEN,,6 secteurs,
ECS,1 IMPASSE INITIALIS 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
INFORMATIQUE PROG (INFORMATIQUE PROG),2 IMPASSE LEBISEY 14610 EPRON,14610 EPRON,,6 secteurs,
VINCENT DUBOIS (DUBOIS-VINCENT),1202 LE BOIS 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
6CURE,701 RUE LEON FOUCAULT 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
GUILLAUME BELLEUVRE (GUILLAUME BELLEUVRE),GRANDMESNIL 3042 ROUTE DE LA CROIX BLANCHE 14170 SAINT-PIERRE-EN-AUGE,14170 SAINT-PIERRE-EN-AUGE,,6 secteurs,
FRANCOIS VERSEPUY,3 RUE DES SERRES 14280 SAINT-CONTEST,14280 SAINT-CONTEST,,6 secteurs,
